Sample,Original.label,Treatment,Time post-transplant (weeks),WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
miR532.17,MB_miR BMT_532_1,miR-532,30,6.2,10.53,15,48.2,46,14.3,31.2,939,6.2,14.8,NA,NA,NA,4.6,0.5,1.1,8.5
miR532.18,MB_miR BMT_532_2,miR-532,30,7,9.57,14.9,49,51,15.6,30.4,381,6.9,46,NA,NA,NA,3.4,0.4,1.5,73
miR532.19,MB_miR BMT_532_3,miR-532,30,5.3,10.35,16.2,51,49,15.6,31.7,795,7.1,15.8,NA,NA,NA,2.7,0.7,1.6,42.9
miR532.20,MB_miR BMT_532_4,miR-532,30,4.3,11.59,16.4,53.2,46,14.2,30.9,1201,6.6,16,NA,NA,NA,1,0.2,1,4.5
miR532.21,MB_miR BMT_532_5,miR-532,30,2.7,10.67,15.7,50.8,48,14.7,30.9,657,6.4,16.2,NA,NA,NA,1.2,0.3,1.2,14.6
MIG.12,MB_miR BMT_MIG_1,control,33,3.3,10.12,15.5,48.3,48,15.3,32,1508,6.4,15.1,60.8,11.9,27.3,1.9,0.3,1.1,NA
MIG.13,MB_miR BMT_MIG_2,control,33,5.6,10.76,15.8,49.7,46,14.6,31.7,1211,6.2,14.9,72,7.8,20.2,4,0.4,1.2,NA
MIG.14,MB_miR BMT_MIG_3,control,33,5.5,12.41,17.3,55.5,45,13.9,31.2,971,6.7,15.1,68.4,9,22.6,3.7,0.4,1.4,NA
MIG.15,MB_miR BMT_MIG_4,control,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.16,MB_miR BMT_MIG_5,control,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.17,MB_miR BMT_532_1,miR-532,33,6.6,11.18,16.3,51.9,46,14.6,31.4,1130,6.3,14.8,76.1,6.9,17,5,0.4,1.2,NA
miR532.18,MB_miR BMT_532_2,miR-532,33,5.5,9.42,14.8,48.3,51,15.7,30.7,466,7.1,46.6,58.5,12.3,29.2,3.2,0.6,1.7,NA
miR532.19,MB_miR BMT_532_3,miR-532,33,5.3,5.6,8.7,26.1,47,15.5,33.3,310,7.2,15.7,55.3,13,31.7,2.9,0.6,1.8,NA
miR532.20,MB_miR BMT_532_4,miR-532,33,2.2,10.51,15,47.4,45,14.3,31.8,1467,6.5,15.9,54.7,6.8,38.5,1.2,0.1,0.9,NA
miR532.21,MB_miR BMT_532_5,miR-532,33,2.8,10.01,15.4,49,49,15.4,31.4,797,6.5,15.8,48.7,10.8,40.5,1.3,0.2,1.3,NA
MIG.12,MB_miR BMT_MIG_1,control,42,4.3,7.11,10.5,34.5,45,14.9,31,1664,6.4,15,53.8,10.2,39,2.2,0.4,1.6,0.19
MIG.13,MB_miR BMT_MIG_2,control,42,6.1,10.21,15.3,48.4,46,14.4,31.8,1332,6.3,15,70.1,8.8,25.6,4.5,0.5,1.6,2.44
MIG.14,MB_miR BMT_MIG_3,control,42,5.9,11.98,16.8,52.8,45,13.8,31,998,6.8,15.2,68.2,7.3,28,3.9,0.4,1.6,4.88
MIG.15,MB_miR BMT_MIG_4,control,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.16,MB_miR BMT_MIG_5,control,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.17,MB_miR BMT_532_1,miR-532,42,7.2,11.01,15.9,49.8,48,15.1,31.9,1102,6.5,14.7,70.9,8.5,23.9,5.5,0.6,1.8,28.4
miR532.18,MB_miR BMT_532_2,miR-532,42,5.7,8.97,14.2,45.9,47,15.9,30.5,442,7.1,44.2,58.7,15.6,29,3.1,0.8,1.5,70.47
miR532.19,MB_miR BMT_532_3,miR-532,42,5.1,5.7,9.1,28.8,48,15.2,33,354,7.1,15.5,54.7,13.6,36.1,2.6,0.6,1.7,43.7
miR532.20,MB_miR BMT_532_4,miR-532,42,2.5,10.25,14.8,47,47,14.2,31.5,1431,6.7,16,44,10.3,49.8,1.3,0.3,1.5,5.59
miR532.21,MB_miR BMT_532_5,miR-532,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.21,MB_miR BMT_532_5,miR-532,48,21.8,8.01,13,40,50,16.2,32.4,391,8.1,16.8,21.8,8,70.2,4.7,1.7,15.4,NA
MIG.12,MB_miR BMT_MIG_1,control,50,8.4,8.45,12.8,41.4,49,15.2,31,1868,6.5,14.7,51,9.2,39.8,4.2,0.7,3.5,NA
MIG.13,MB_miR BMT_MIG_2,control,50,10.5,9.15,13.7,44.3,48,15,31,2011,6.1,15.2,58.6,8.7,32.7,6.1,0.9,3.5,NA
MIG.14,MB_miR BMT_MIG_3,control,50,7,9.66,12.9,42.7,44,13.3,30.2,968,6.5,14.9,55.6,10.5,33.9,3.8,0.7,2.5,NA
MIG.15,MB_miR BMT_MIG_4,control,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.16,MB_miR BMT_MIG_5,control,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.17,MB_miR BMT_532_1,miR-532,50,13.1,9.8,14.3,45.3,46,14.6,31.5,847,6.4,14.5,57.2,8.9,33.9,7.5,1.1,4.5,NA
miR532.18,MB_miR BMT_532_2,miR-532,50,13.1,6.48,10.7,34.5,53,16.5,31,320,7.4,16.3,19.7,12.7,67.6,2.5,1.6,9,NA
miR532.19,MB_miR BMT_532_3,miR-532,50,4.3,8.28,11.7,38.4,46,14.2,30.5,757,6.8,14.2,31.3,10.2,58.4,1.3,0.4,2.6,NA
miR532.20,MB_miR BMT_532_4,miR-532,50,5.6,9.53,13.6,43.6,46,14.3,31.2,1213,6.4,14.9,35.6,10.2,54.2,1.9,0.5,3.2,NA
miR532.21,MB_miR BMT_532_5,miR-532,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
