Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
miR532.5,BMT2.532-OE (cage 1/4 REP),miR-532,21,8.2,10.52,15.4,47.4,45,14.6,32.4,903,6.6,15.6,NA,NA,NA,4.9,0.6,2.7,26.8
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,21,6.5,10.14,13.9,44.4,44,13.7,31.3,722,6.7,15.8,NA,NA,NA,2.9,0.4,3.2,65.2
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,21,6,9.84,15,45.6,46,15.2,32.8,905,6.4,17,NA,NA,NA,3.6,0.6,1.8,60.4
miR532.8,BMT2.532-OE (cage 3/4 BEP),miR-532,21,3.8,7.39,11.6,36.2,49,15.7,32.1,2494,6.4,18,NA,NA,NA,2.7,0.4,0.7,39.5
miR532.9,BMT2.532-OE (cage 3/4 REP),miR-532,21,8.3,9.95,14.1,44,44,14.2,32.1,1091,6.1,15.4,NA,NA,NA,4.1,0.6,3.6,35.7
miR532.10,BMT2.532-OE (cage 2/4 NEP),miR-532,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,21,12.4,9.68,14.5,43.4,45,15,33.3,617,7.6,15.4,NA,NA,NA,5.1,0.9,6.4,56
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,21,7.6,10.29,15.1,45.8,45,14.6,32.9,578,7.2,15.8,NA,NA,NA,3.9,0.6,3.1,78.1
miR532.13,BMT2.532-OE (cage 4/4 NEP),miR-532,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.14,BMT2.532-OE (cage 3/4 NEP),miR-532,21,10,9.53,13.8,41.9,44,14.5,33.1,904,6.1,15.5,NA,NA,NA,4.2,0.7,5.1,27.1
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,21,4.3,8.8,13.7,42.4,48,15.6,32.3,1158,5.9,19.1,NA,NA,NA,2.3,0.3,1.7,55.8
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,21,7.9,9.52,14.4,44,46,15.2,32.8,867,6.2,16,NA,NA,NA,5,0.5,2.4,62.1
MIG.1,BMT1.MIG (NEP cage 1/2),control,28,11.1,8.83,14.8,45.1,51,16.7,32.8,896,6.4,15.6,NA,NA,NA,5.6,1,4.5,73.1
MIG.2,BMT1.MIG (REP cage 1/2),control,28,7.6,8.74,13.1,41.7,48,15,31.5,539,6.4,17.2,NA,NA,NA,2.7,0.6,4.3,86
MIG.3,BMT1.MIG (BEP cage 2/2),control,28,8.4,7.67,13,39.1,51,16.9,33.2,143,8,17.4,NA,NA,NA,2.8,0.8,4.8,94.1
