Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,52,3.5,1.99,3.4,10,50,17.2,34.1,158,10.9,23.4,NA,NA,NA,1.6,0.3,1.6,NA
miR532.3,BMT2.532-OE (cage 1/4 LEP),miR-532,62,1.1,2.57,4.7,12.7,50,18.3,37,20,8,15.6,NA,NA,NA,0.3,0.1,0.7,NA
MIG.6,BMT2.MIG (cage 2/2 LEP),control,62,13.6,5.74,8.6,25.6,45,15,33.7,384,10.7,19.1,NA,NA,NA,5,1.3,7.3,NA
MIG.5,BMT2.MIG (cage 2/2 BEP),control,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.6,BMT2.MIG (cage 2/2 LEP),control,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.7,BMT2.MIG (cage 1/2 LEP),control,64,12.6,3.88,7.9,23.6,61,20.3,33.3,438,7.9,20.5,NA,NA,NA,1.6,0.8,10.2,NA
MIG.8,BMT2.MIG (cage 1/2 BEP),control,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.9,BMT2.MIG (cage 2/2 NEP),control,64,50.2,1.15,2.7,8,69,23.4,33.8,269,7.8,21.3,NA,NA,NA,2.8,2.5,44.9,NA
MIG.10,BMT2.MIG (cage 2/2 REP),control,64,47.9,5.27,10.2,28.6,54,19.3,35.6,295,7.6,18.2,NA,NA,NA,5.2,4.9,37.8,NA
MIG.11,BMT2.MIG (cage 1/2 REP),control,64,9,6.43,9.3,27.9,43,14.4,33.2,914,7.1,18.8,NA,NA,NA,3.2,0.5,5.3,NA
miR532.1,BMT2.532-OE (cage 4/4 REP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.2,BMT2.532-OE (cage 3/4 LEP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.3,BMT2.532-OE (cage 1/4 LEP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.4,BMT2.532-OE (cage 2/4 LEP),miR-532,64,5.4,6.6,10.5,30.6,46,15.9,34.3,469,7.8,15.5,NA,NA,NA,2.2,0.4,2.8,NA
miR532.5,BMT2.532-OE (cage 1/4 REP),miR-532,64,8.1,8.35,12.8,37.2,45,15.4,34.5,1883,5.6,13.9,NA,NA,NA,2,0.5,5.6,NA
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,64,3.8,7.32,12.6,36.6,50,17.2,34.4,976,5.9,15.3,NA,NA,NA,1.2,0.3,2.3,NA
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.8,BMT2.532-OE (cage 3/4 BEP),miR-532,64,1.5,5.38,10,29.4,55,18.6,34,1640,6.2,15.8,NA,NA,NA,0.7,0.1,0.7,NA
miR532.9,BMT2.532-OE (cage 3/4 REP),miR-532,64,6.7,9.01,14.4,39.1,43,16,36.9,1146,6.3,14.2,NA,NA,NA,2.7,0.5,3.5,NA
miR532.10,BMT2.532-OE (cage 2/4 NEP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,64,2.6,3.65,6.7,19.5,54,18.3,34.1,242,10.7,22.4,NA,NA,NA,1.2,0.2,1.2,NA
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,64,14.1,7.59,11.3,33.5,44,14.9,33.7,1042,6.4,14.6,NA,NA,NA,3.9,1,9.2,NA
miR532.13,BMT2.532-OE (cage 4/4 NEP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.14,BMT2.532-OE (cage 3/4 NEP),miR-532,64,11.2,8.34,12.7,37.4,45,15.3,34,1227,6,14.5,NA,NA,NA,5.3,0.7,5.2,NA
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,64,5.1,2.51,4.1,13.8,55,16.2,29.6,420,9.9,24.4,NA,NA,NA,1.6,0.3,3.2,NA
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,72,46.55,1.325,2.55,6.95,53,19.9,37.5,15.5,7.75,14.55,NA,NA,NA,3.2,3.25,40.1,NA
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,73,3.3,4.16,6.2,18,43,15,34.5,502,11.5,19.4,NA,NA,NA,1,0.2,2.1,NA
MIG.10,BMT2.MIG (cage 2/2 REP),control,73,15.6,1.88,4,13,69,21.2,30.6,179,11,38.2,NA,NA,NA,4.7,1,9.9,NA
